object,size,altitude,visibility-1,visibility-3,visibility-5,visibility-10,visibility-15,visibility-20,visibility-30
boat_sail,25,2500,0.2,2.1,3.3,5.2,6.5,7.5,7.5
boat_sail,30,2500,0.2,2.2,3.7,6.1,7.8,9.1,11
boat_sail,40,2500,0.3,2.5,4.3,7.7,10.2,12.1,15.1
boat_sail,50,2500,0.3,2.6,4.6,8.6,11.5,13.9,17.6
boat_sail,70,2500,0.3,2.7,4.9,9.4,12.9,15.8,20.3
boat_sail,83,2500,0.3,2.8,5.1,10,13.9,17.2,22.4
ship,120,2500,0.3,2.8,5.4,11.1,16,20.2,27.1
ship,225,2500,0.3,2.9,5.6,12.5,18.9,24.8,35
ship,300,2500,0.3,2.9,5.7,13.2,20.7,27.9,41.5
piw,1,3000,0,0,0,0,0,0,0
raft,1,3000,0.1,0.5,0.8,1.1,1.3,1.3,1.3
raft,4,3000,0.1,0.7,1.2,1.8,2.1,2.3,2.3
raft,6,3000,0.1,0.9,1.5,2.2,2.7,2.9,2.9
raft,8,3000,0.1,1,1.6,2.5,2.9,3.2,3.2
raft,10,3000,0.1,1.1,1.8,2.7,3.2,3.5,3.5
raft,15,3000,0.1,1.2,2,3,3.6,4,4.5
raft,20,3000,0.1,1.4,2.2,3.4,4.1,4.6,5.3
raft,25,3000,0.1,1.5,2.4,3.7,4.5,5.1,5.8
boat_power,15,3000,0.1,0.8,1.3,1.8,2.1,2.3,2.3
boat_power,20,3000,0.1,1.6,2.5,3.9,4.7,5.3,5.3
boat_power,33,3000,0.2,2.1,3.4,5.6,7.1,8.1,9.7
boat_power,53,3000,0.2,2.5,4.5,8.3,11.1,13.4,16.8
boat_power,78,3000,0.2,2.7,5,9.9,13.7,16.8,21.9
boat_sail,15,3000,0.1,1.5,2.3,3.5,4.3,4.7,4.7
boat_sail,20,3000,0.1,1.7,2.8,4.4,5.3,6,6
boat_sail,25,3000,0.2,2,3.3,5.3,6.6,7.5,7.5
boat_sail,30,3000,0.2,2.2,3.7,6.2,7.9,9.2,11.1
boat_sail,40,3000,0.2,2.4,4.3,7.7,10.2,12.1,15.1
boat_sail,50,3000,0.2,2.6,4.6,8.6,11.6,14,17.7
boat_sail,70,3000,0.2,2.6,4.9,9.4,13,15.8,20.3
boat_sail,83,3000,0.2,2.7,5.1,10,14,17.2,22.5
ship,120,3000,0.2,2.8,5.3,11.1,16,20.2,27.1
ship,225,3000,0.2,2.8,5.6,12.5,18.9,24.8,35
ship,300,3000,0.2,2.9,5.7,13.2,20.7,27.9,41.5
